Universal ACDC v.1.38
importing alife objects...
importing alife objects from file alife_zaton.ltx...
importing alife objects from file alife_jupiter.ltx...
importing alife objects from file alife_puzir.ltx...
team 0, squad 1, group 3, puzir_sniper1
team 0, squad 1, group 3, puzir_sniper2
team 0, squad 1, group 3, puzir_sniper3
team 0, squad 5, group 4, dead_military_qvest_crest
team 0, squad 5, group 4, puzir_crest
team 0, squad 0, group 0, puzir_bloodsucker_strong
team 0, squad 0, group 0, puzir_bloodsucker_strong_0000
team 0, squad 0, group 0, puzir_psy_dog_radar
team 0, squad 0, group 0, puzir_pseudodog_strong
team 0, squad 0, group 0, puzir_pseudodog_strong_0000
team 0, squad 0, group 0, puzir_gigant_strong
team 0, squad 0, group 0, puzir_gigant_strong_0000
team 0, squad 0, group 0, puzir_gigant_strong_0001
team 0, squad 0, group 0, puzir_boar_strong
team 0, squad 0, group 0, puzir_boar_strong_0000
team 0, squad 0, group 0, puzir_boar_strong_0001
team 0, squad 0, group 0, puzir_boar_strong_0002
team 0, squad 0, group 0, puzir_boar_strong_0003
team 0, squad 0, group 0, puzir_boar_strong_0004
team 0, squad 0, group 0, puzir_boar_strong_0005
team 0, squad 0, group 0, puzir_snork_strong
team 0, squad 0, group 0, puzir_snork_strong_0000
team 0, squad 0, group 0, puzir_snork_strong_0001
team 0, squad 0, group 0, puzir_snork_strong_0002
team 0, squad 0, group 0, puzir_snork_strong_0003
team 0, squad 0, group 0, puzir_snork_strong_0004
team 0, squad 0, group 0, puzir_snork_strong_0005
team 0, squad 0, group 0, puzir_snork_strong_0006
team 0, squad 0, group 0, puzir_snork_strong_0007
team 0, squad 0, group 0, puzir_snork_strong_0008
team 0, squad 0, group 0, puzir_snork_strong_0009
team 0, squad 0, group 0, puzir_snork_strong_0010
team 0, squad 0, group 0, puzir_snork_strong_0011
team 0, squad 0, group 0, puzir_snork_strong_0012
team 0, squad 0, group 0, puzir_snork_strong_0013
team 0, squad 0, group 0, puzir_dog_strong
team 0, squad 0, group 0, puzir_dog_strong_0000
team 0, squad 0, group 0, puzir_dog_strong_0001
team 0, squad 0, group 0, puzir_dog_strong_0002
team 0, squad 0, group 0, puzir_dog_strong_0003
team 0, squad 0, group 0, puzir_dog_normal
team 0, squad 0, group 0, puzir_dog_normal_0000
team 0, squad 0, group 0, puzir_dog_normal_0001
team 0, squad 0, group 0, puzir_dog_normal_0002
team 0, squad 0, group 0, puzir_dog_normal_0003
importing alife objects from file alife_l05_bar.ltx...
team 0, squad 1, group 3, bar_sniper2
team 0, squad 1, group 3, bar_sniper1
team 0, squad 1, group 3, bar_sniper3
team 0, squad 1, group 3, bar_sniper5
team 0, squad 1, group 3, bar_sniper4
team 0, squad 5, group 4, bkot
team 0, squad 0, group 0, piligrim_bar
team 0, squad 0, group 0, kluk_bar
team 0, squad 5, group 4, stalker_green_zahar
team 0, squad 5, group 4, stalker_green_bar1
team 0, squad 5, group 4, stalker_green_bar2
team 0, squad 5, group 4, stalker_green_bar3
team 0, squad 5, group 4, bar_killer_attackers_1
team 0, squad 5, group 7, bar_killer_attackers_2
team 0, squad 5, group 7, bar_killer_attackers_3
team 0, squad 5, group 7, bar_killer_attackers_4
team 0, squad 5, group 7, bar_killer_attackers_5
team 0, squad 5, group 7, bar_killer_attackers_6
team 0, squad 5, group 7, bar_killer_attackers_7
team 0, squad 5, group 7, bar_killer_attackers_8
team 0, squad 5, group 7, bar_killer_attackers_9
team 0, squad 5, group 7, bar_killer_attackers_10
team 0, squad 5, group 7, bar_killer_attackers_11
team 0, squad 5, group 7, bar_killer_attackers_12
team 0, squad 5, group 7, bar_killer_attackers_13
team 0, squad 5, group 7, bar_killer_attackers_14
team 0, squad 5, group 7, bar_killer_attackers_15
team 0, squad 5, group 4, bar_dolg_attackers_stop1
team 0, squad 5, group 4, bar_dolg_attackers_stop2
team 0, squad 5, group 4, bar_dolg_attackers_stop3
team 0, squad 5, group 4, bar_dolg_attackers_stop4
team 0, squad 5, group 4, bar_dolg_attackers_stop5
team 0, squad 5, group 4, bar_dolg_attackers_stop6
team 0, squad 5, group 4, bar_dolg_attackers_stop7
team 0, squad 5, group 4, bar_dolg_attackers_stop8
team 0, squad 5, group 7, bar_killer_attackers_16
team 0, squad 5, group 7, bar_killer_attackers_17
team 0, squad 5, group 7, bar_killer_attackers_18
team 0, squad 5, group 7, bar_killer_attackers_19
team 0, squad 5, group 7, bar_killer_attackers_20
team 0, squad 5, group 7, bar_killer_attackers_21
team 0, squad 5, group 7, bar_killer_attackers_22
team 0, squad 5, group 7, bar_killer_attackers_23
team 0, squad 5, group 4, rostok_stalker
team 0, squad 5, group 27, bar_bar_drunk_dolg
team 0, squad 5, group 28, bar_bar_visitors_3_3
team 0, squad 5, group 28, bar_bar_visitors_3_4
team 0, squad 5, group 28, bar_bar_visitors_3_2
team 0, squad 5, group 28, bar_bar_lisiy
team 0, squad 5, group 27, bar_bar_visitors_2_1
team 0, squad 5, group 27, bar_bar_visitors_1_2
team 0, squad 5, group 27, bar_bar_visitor_hunter
team 0, squad 0, group 0, bar_barman
team 0, squad 5, group 20, bar_bar_guard
team 0, squad 5, group 0, bar_bar_osvedomitel
team 0, squad 5, group 1, bar_m_dog_e_0000
team 0, squad 5, group 1, bar_m_dog_e_0001
team 0, squad 5, group 1, bar_m_dog_e_0003
team 0, squad 5, group 1, bar_m_dog_e_0005
team 0, squad 5, group 1, bar_m_dog_e_0007
team 0, squad 5, group 1, bar_m_pseudodog_e
team 0, squad 5, group 1, bar_m_pseudodog_e_0000
team 0, squad 5, group 20, bar_bar_guard_2
team 0, squad 5, group 1, bar_m_dog_e_0009
team 0, squad 5, group 1, bar_m_dog_e_0010
team 0, squad 5, group 1, bar_m_dog_e_0011
team 0, squad 5, group 1, bar_m_dog_e_0012
team 0, squad 5, group 1, bar_m_dog_e_0013
team 0, squad 5, group 1, bar_m_dog_e_0014
team 0, squad 5, group 1, bar_m_dog_e_0015
team 0, squad 5, group 1, bar_m_dog_e_0016
team 0, squad 5, group 1, bar_m_dog_e_0017
team 0, squad 5, group 1, bar_m_dog_e_0018
team 0, squad 0, group 0, bar_m_crow
team 0, squad 0, group 0, bar_m_crow_0000
team 0, squad 0, group 0, bar_m_crow_0001
team 0, squad 0, group 0, bar_m_crow_0002
team 0, squad 0, group 0, bar_m_crow_0003
team 0, squad 0, group 0, bar_m_crow_0004
team 0, squad 0, group 0, bar_m_crow_0005
team 0, squad 0, group 0, bar_m_crow_0006
team 0, squad 0, group 0, bar_m_crow_0007
team 0, squad 0, group 0, bar_m_crow_0008
team 0, squad 0, group 0, bar_m_crow_0009
team 0, squad 0, group 0, bar_m_crow_0010
team 0, squad 0, group 0, bar_m_crow_0011
team 0, squad 0, group 0, bar_m_crow_0012
team 0, squad 0, group 0, bar_m_crow_0013
team 0, squad 0, group 0, bar_m_crow_0014
team 0, squad 0, group 0, bar_m_crow_0015
team 0, squad 8, group 8, bar_bar_stalker
team 0, squad 0, group 0, bar_visitor_2
team 0, squad 0, group 0, bar_visitor_3
team 0, squad 0, group 0, bar_visitor_4
team 0, squad 0, group 0, bar_visitor_5
team 0, squad 0, group 0, bar_visitor_7
team 0, squad 0, group 0, bar_visitor_8
team 0, squad 0, group 0, bar_visitor_10
team 0, squad 0, group 0, bar_visitor_12
team 0, squad 0, group 0, bar_visitor_13
team 0, squad 0, group 0, bar_visitor_15
team 0, squad 8, group 8, bar_house_stalker
team 0, squad 5, group 4, bar_dolg_veteran_3
team 0, squad 5, group 4, bar_dolg_veteran_2
team 0, squad 5, group 4, bar_dolg_bunker_1
team 0, squad 5, group 4, bar_dolg_bunker_4
team 0, squad 5, group 4, bar_dolg_bunker_3
